"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11"
"United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875,2.92307692307692,2.86162361623616,2.73429951690821,2.80748663101604,2.74757281553398,2.63953488372093,2.56330128205128,2.64920828258222,2.71629778672032,2.7,2.72727272727273,2.73105497771174,2.73089700996678,2.71729871861344,2.66666666666667,2.63636363636364,2.62014134275618,2.56183745583039
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6504854368932,4.54503210544103,4.59016393442623,4.54545454545455,4.4875,4.45901639344262,4.50304259634888,4.5,4.5,4.5,4.33185185185185,4.26383853145387,4.2509842519685,4.24956071479163,4.2012987012987,4.125,4.21428571428571
"Los Angeles-Long Beach-Anaheim, CA",2,2.02683080808081,2.14285714285714,2.14285714285714,2.12698412698413,2.14705882352941,2.20747990666321,2.14285714285714,1.98571428571429,2.06849315068493,1.9586305278174,1.93541666666667,1.97776038042218,2.14285714285714,2.20221674876847,2.35714285714286,2.32383720930233,2.35902255639098,2.35836909871245,2.42218998578181,2.32830459770115,2.42616033755274,2.41651177199504,2.44716981132075,2.41362334407447,2.30902777777778,2.40966920180167,2.47058823529412,2.45134856517714,2.48039215686275,2.35501858736059,2.3732760249386,2.43166666666667,2.38322580645161,2.38821138211382,2.22111111111111,2.31666666666667,2.39182413710716,2.40384615384615,2.37724371759075,2.44064276885043,2.48525073746313,2.5,2.58992805755396,2.57676767676768,2.60416666666667,2.66526019690577,2.72620542440984,2.74349791717716,2.73084479371316,2.76630500666747,2.8,2.8125,2.8125,2.86363636363636,2.92857142857143,2.94511378848728,2.94041670915333,2.91161178509532,2.95
"Chicago, IL",3,,,,,,,,,2.32162661737523,2.3040308561495,2.31192660550459,2.32142857142857,2.27619047619048,2.21296296296296,2.18166666666667,2.19230769230769,2.3712,2.34844805187833,2.35661923926017,2.41176470588235,2.43276283618582,2.38755872436854,2.3728813559322,2.41187384044527,2.44716029426203,2.56323777403035,2.56483126110124,2.60455205883675,2.64193425076453,2.63668430335097,2.66165413533835,2.62895174708819,2.65935408903314,2.61144578313253,2.58964285714286,2.61130136986301,2.59241057170233,2.57103538663172,2.62335766423358,2.65107212475634,2.72444444444444,2.80368874068374,2.87671012473461,2.73,2.86950107904361,2.8,2.66614407028391,2.53424657534247,2.65935408903314,2.81754385964912,2.7318718381113,2.69230769230769,2.73772015736791,2.72565270789588,2.72593582887701,2.62142857142857,2.68215748324646,2.69285714285714,2.70501942265214
"Dallas-Fort Worth, TX",4,,,,,,,,,1.21340672504957,1.07641196013289,1.08139534883721,1.26816688213747,1.2469693670151,1.28043278410296,1.34970330123391,1.2375,1.42655566924007,1.53605366392444,1.44078947368421,1.35968896229012,1.42857142857143,1.45161290322581,1.43448275862069,1.43318965517241,1.45475382003396,1.45161290322581,1.47,1.50201248322931,1.47333333333333,1.5048584605598,1.58854166666667,1.57155004859086,1.58781015917603,1.4631482237648,1.58539290240811,1.46855564498427,1.4875,1.4746835443038,1.51841782237919,1.55227272727273,1.63529411764706,1.72310756972112,1.7,1.74541356068384,1.55935613682093,1.69910179640719,1.73233509984953,1.70987654320988,1.56083650190114,1.69398907103825,1.67352320675105,1.68441064638783,1.70932358318099,1.70992494948523,1.76315789473684,1.76923076923077,1.67708333333333,1.79111444317152,1.8282144414575
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99777777777778,1.99745547073791,1.82692307692308,1.75,1.74363636363636,1.74363636363636,1.76478067387158,1.88317647058824,1.88749178172255,1.97884904950122,2.15527777777778,2.36195799457995,2.30625,2.23065110565111,2.08695652173913,1.94940476190476,1.96923076923077,1.99140855457227
"Washington, DC",6,,,,,,2.64691558441558,2.71563342318059,2.93333333333333,2.70849056603774,2.73823005137884,2.81151799667074,2.88815606775896,2.92363636363636,2.90833333333333,2.99242424242424,3.06930693069307,3.10506566604128,3.06637854400333,3.01567944250871,2.98872180451128,2.95638126009693,3.01342631343313,2.99193730995665,3.04726168140802,3.0368,3.06930693069307,3.14415279556125,3.16901408450704,3.02159468438538,2.9708904109589,2.95934959349594,3.09778597785978,3.08333333333333,3.08181818181818,3.0384,2.99130434782609,2.98888888888889,2.98372513562387,2.96910407339855,3,3.04444444444444,3.07306765523633,3.06194690265487,3.09778597785978,3.12222222222222,3.0878828229028,3.12007504690432,3.07736742424242,3.02727272727273,3.05206712959251,3.08333333333333,3.0639431616341,3.06093218466976,3.07291666666667,3.12195419103314,3.13454861111111,3.14510489510489,3.10266374561677,3.15384615384615
"Miami-Fort Lauderdale, FL",7,,,2.24438902743142,2.27678571428571,2.28628230616302,2.28628230616302,2.2,2.16666666666667,2.05555555555556,2.04787234042553,2.06930601698044,2.11111111111111,1.998,2.12121212121212,2.125,2.11992809450437,2.13556851311953,2.20228384991843,2.26628895184136,2.26824457593688,2.25571735188543,1.95119047619048,1.98331193838254,2.1046511627907,1.79285714285714,1.77486582940584,1.88588007736944,1.87646828864462,1.92857142857143,2.17887596899225,2.22222222222222,2.23052984360038,2.33333333333333,2.22222222222222,2.3135691804823,2.41935483870968,2.31634280742459,2.20463609172483,2.22222222222222,2.18598300970874,2.33333333333333,2.33333333333333,2.328165374677,2.37588028169014,2.45295698924731,2.44644347100542,2.375,2.39318181818182,2.44444444444444,2.55756148613292,2.625,2.58620689655172,2.68729641693811,2.74904580152672,2.74442538593482,2.72727272727273,2.6,2.65017667844523,2.6291144200627
"San Francisco, CA",8,,,,,,,,,,,,,,,,,,,,,,3.77027027027027,3.77027027027027,3.75735294117647,3.94269884892327,3.73637778505898,3.71385083713851,3.65566037735849,3.88888888888889,3.87281910009183,4.09844006568144,4.06898801088692,4.44210526315789,4.21875,4.03015373864431,4.3835587534024,4.29683698296837,4.27631578947368,4.30226464533034,4.43398281139628,4.6560942502241,4.68517547732038,4.57792667998196,4.59666666666667,4.59237288135593,4.57972805933251,4.52,4.64285714285714,4.62037037037037,4.69117647058824,4.59,4.87170765742194,4.78448275862069,4.83193277310924,4.69117647058824,5.24551827294443,4.942,4.91346153846154,4.91346153846154
"Detroit, MI",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.904545454545455,0.991666666666667,0.904545454545455,0.904545454545455,0.9,0.8675,0.933333333333333,0.8675,0.8675,0.99290780141844,1,1.00503597122302,1.00251798561151,1,1
"Phoenix, AZ",10,,,,,,,,,,,,,,,,,1.21,1.17031832832362,1.17647058823529,1.23426573426573,1.23054518103538,1.17468165598221,1.1568998716303,1.14582415630551,1.15108455616783,1.18453865336658,1.1981981981982,1.199,1.15195681511471,1.18827708703375,1.16632860040568,1.17050040355125,1.14646641792831,1.16532007458048,1.16666666666667,1.16666666666667,1.16666666666667,1.16532007458048,1.16666666666667,1.16843971631206,1.17173913043478,1.21737421383648,1.25,1.19445545938251,1.22684391080618,1.22798887859129,1.24239406779661,1.3125,1.26485576923077,1.36320013959169,1.29565217391304,1.33279310344828,1.33540372670807,1.35806429595249,1.375,1.38986842105263,1.3646288209607,1.41066395277441,1.53289473684211
"Seattle, WA",11,,,,,,,,,,,,,1.80315586900418,1.91650485436893,1.98172757475083,1.96813725490196,2.05636953551913,2.068669527897,2.06521739130435,2.14349259083478,2.14392698874372,2.20108695652174,2.21556390977444,2.10843373493976,2.05714285714286,2.08433734939759,2.182,2.10912698412698,2.22862273618788,2.25833333333333,2.27154471544715,2.28270915374106,2.42857142857143,2.37430167597765,2.31567822109887,2.43086199503224,2.39285714285714,2.40703468652043,2.40898676236619,2.48030045351474,2.61111111111111,2.60208333333333,2.6566757493188,2.66743648960739,2.69791666666667,2.62921395849198,2.62664165103189,2.59825634057971,2.6008316008316,2.63643797047939,2.68853272703984,2.75732217573222,2.74193548387097,2.8,2.83928571428571,2.85591766723842,2.8159645232816,2.79853287035327,2.82685512367491
"Minneapolis-St Paul, MN",12,,,,,,,,,,,,,,,,,,,,,,,,,1.63611111111111,1.7,1.67480158730159,1.66176470588235,1.76,1.70704845814978,1.61803713527851,1.69039793290168,1.69413919413919,1.64102564102564,1.56603773584906,1.64102564102564,1.71846991037132,1.87886904761905,1.87292339252085,1.921875,1.84727653631285,1.85671262570626,1.85288640595903,1.90909090909091,1.88235294117647,1.8,1.7,1.7,1.7,1.75735294117647,1.85288640595903,1.85310986964618,1.84647302904564,1.9041095890411,1.86666666666667,1.8804920913884,1.89189189189189,1.92704324201947,1.95075757575758
"San Diego, CA",13,,,,,,,,,2.33012820512821,2.28964613368283,2.12764675052411,1.99375,1.9249167935917,2.06521739130435,2.14123006833713,2.10805610724926,2.15909090909091,2.14539295392954,2.15909090909091,2.15909090909091,2.05,2.06458333333333,2.1281045751634,2.16173120728929,2.16173120728929,2.1231884057971,2.17954545454545,2.08696247482421,2.01085481682497,1.9988864142539,2.09302325581395,2.17310606060606,2.09302325581395,2.16186252771619,2.17391304347826,2.42307692307692,2.48,2.41666666666667,2.47857142857143,2.6,2.59171707771056,2.39,2.54286796935808,2.625,2.65624535488666,2.67640170822427,2.72608244365362,2.72734266163727,2.79716778107669,2.73685769389723,2.9993481095176,2.91820270527061,2.99710930354745,2.92142857142857,2.96589163822526,3.1205373646686,3.20702402957486,3.10536044362292,2.90126582278481
"St. Louis, MO",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3126491646778,1.3188245823389,1.34862385321101,1.36217429772174,1.36217429772174,1.33126631172356,1.36181818181818,1.39272727272727,1.37747035573123,1.33333333333333,1.32222222222222,1.34793187347932
"Tampa, FL",15,,,,,,,,,,0.983751548946716,1.11607142857143,1.11677631578947,1.13636363636364,1.13111111111111,1.08712121212121,1.08181818181818,1.08333333333333,1.2,1.2119783197832,1.16666666666667,1.21111111111111,1.13636363636364,1.1577037037037,1.17777777777778,1.2,1.2,1.25561282932417,1.31111111111111,1.245,1.28888888888889,1.23541666666667,1.22777777777778,1.16666666666667,1.20279605263158,1.22364953886693,1.27991452991453,1.32222222222222,1.32111111111111,1.34166666666667,1.33333333333333,1.37083333333333,1.5,1.5,1.5,1.5625,1.49141355140187,1.51098901098901,1.61363636363636,1.65,1.55555555555556,1.61378205128205,1.55902777777778,1.52307692307692,1.47177197802198,1.5,1.52666666666667,1.44444444444444,1.625,1.5625
"Baltimore, MD",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48998664886515,2.34435997264166,2.25863666869068,2.28915662650602,2.31167952700671,2.05309760968085,2.10804809534635,2.10628395831478,2.06917475728155,2.1407171314741,2.21043689320388,2.05097087378641,2.04026115342764,2.09905660377358,2.03124168782493,2.11622807017544
"Denver, CO",17,,,,,,,,,,,,,1.68181818181818,1.5,1.45502645502646,1.52801358234295,1.66903409090909,1.71468253968254,1.73111471861472,1.62859172509029,1.59574468085106,1.61045531197302,1.61111000892769,1.58333333333333,1.58602733781731,1.67638483965015,1.67857142857143,1.67060146149522,1.5,1.53465346534653,1.59506327951514,1.59653465346535,1.625,1.64418212478921,1.6875,1.8572506640908,1.99616122840691,2.02783300198807,2.0258212628988,1.95409836065574,1.78217821782178,1.9441661714845,1.9206183447643,2,2.03606557377049,2.0229432002536,2.02270931429359,2.01042911159326,2.08114754098361,2.11123760173772,2.09270631966438,2.10992907801418,2.16106309992773,2.25578406169666,2.25,2.23323170731707,2.32388663967611,2.31707317073171,2.25952813067151
"Portland, OR",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59550561797753,2.41516966067864,2.2375,2.24708171206226,2.25812274368231,2.27272727272727,2.32558139534884,2.32567729561256,2.42718446601942,2.45217391304348,2.50123966942149,2.54668259235567,2.52292020373514,2.51241134751773
"Charlotte, NC",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.666476841306,1.66946308724832,1.73696638517176,1.75438596491228,1.76542470295986,1.80136054421769,1.86635025492695,1.89762611275964,1.88804376209383,1.8886827458256,1.89857757757291,1.87937743190661,2.01793716846534
"Orlando, FL",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79723290383049,1.69145569620253,1.72284482758621,1.77777777777778,1.75742789619461,1.77212714982459,1.82207977207977,1.8354381841796,1.93495187071326,1.76666666666667,1.71685205784205,1.71301446051168,1.78761329012913,1.78434782608696
"Kansas City, MO",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.903225806451613,1,1.10912343470483,1.08687258687259,1.08554155659419,1.09031129343629,1.19856887298748,1.12756264236902,1.22886910585013,1.20056497175141,1.07436332767402,1.04389478764479,0.99353813559322,1.09215017064846,1.14285714285714,1.12278132118451,1.18367346938776,1.14285714285714,1.27857142857143,1.35555555555556,1.25028248587571,1.35474205630059,1.35555555555556,1.35555555555556,1.29984639016897
"San Jose, CA",22,,,,,,,,,,2.64166666666667,2.69166666666667,2.57142857142857,2.75128865979381,2.79301691216585,2.86167582417582,2.875,2.89706825202541,2.98954212454212,3.00807359307359,2.85870243293824,3.11833559698728,3.2375,2.9875,2.9875,3.02631578947368,2.99788583509514,3.1015037593985,2.90052356020942,2.875,2.83896783844428,3.15604395604396,3.28958988380041,3.42410015649452,3.19524344711978,3.17357512953368,3.23461328976035,3.2089552238806,3.21691176470588,3.27619047619048,3.35492227979275,3.51418439716312,3.40467372134039,3.67364746945899,3.73214285714286,3.73134328358209,3.73134328358209,3.7046511627907,3.69642857142857,3.73134328358209,3.86278195488722,3.94272559917618,3.92421602787456,3.97933008267967,4.1453488372093,4.14150943396226,4.20608108108108,4.11139311900733,4.13265306122449,4.15587219343696
"Austin, TX",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81067655935614,1.76792525773196,1.83550039401103,1.86428571428571,1.85185185185185,1.73874695863747,1.79125,1.75,1.79123711340206,1.86657913165266,1.90495867768595,2.03659640965891,2.04400193485972,1.94852941176471,1.88636363636364,1.93456614509246,2.16666666666667,1.92692490494297,1.95942265795207,2.00201207243461,1.97383177570093,2.01593137254902,2,2,2,1.93146417445483,2.18695879366975,2,2.20336495561922
"Oklahoma City, OK",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01279317697228,1.03944562899787,1.01279317697228,1.06609808102345,1.06609808102345,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.01279317697228,1.06609808102345,1.23093900481541,1.25178826895565,1.23565598594748,1.20593900481541,1.22792937399679,1.0813980971155
"New Orleans, LA",25,,,,,,,,,,,,,,,,,,,,1.07142857142857,1.05,1.03425925925926,1,1,0.909090909090909,0.954080756013746,1.02727272727273,1.15875,1.1875,1.07615263762161,1.02865540044085,1.02543881133154,1,1,1,1.01432770022043,1,1,1.06122448979592,1.09130607383882,1.025,1.09090909090909,1.08514492753623,1.12535612535613,1,1,1.03359173126615,1.00789473684211,1,1.1,1.08900793650794,1.18809210526316,1.23333333333333,1.1952380952381,1.18400119617225,1.12743961352657,1.18618421052632,1.1813273993808,1.14455782312925
"Tucson, AZ",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08108108108108,1.08541233541234,1.04831932773109,0.975,0.953038674033149,1.04831932773109,1.15789473684211,1.09756097560976,1.025,1.02739726027397,1.06349206349206,1.09756097560976,1.12477876106195,1.05,1,1,1.07142857142857,1.08974358974359,1.07655502392344,1.125,1.12857142857143,1.12857142857143,1.09487179487179,1.13235502121641,1.08974358974359
"Stamford, CT",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19298245614035,2.08928571428571,2.125,2.26363636363636,2.42382271468144,2.37179487179487,2.41796050667909,2.5,2.34150519848771,2.275,2.37479548573238,2.27272727272727,2.34557038834951,2.35,2.34042553191489,2.09347826086957,2.16666666666667,2.33333333333333,2.54818594104308,2.46776504297994,2.64175257731959,2.55348699763593,2.560888252149,2.52314814814815,2.5,2.5
"Albuquerque, NM",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33488977675142,1.28101503759399,1.3125,1.29440789473684,1.27631578947368,1.36612021857923,1.35574837310195,1.40897755610973,1.31403118040089,1.33488977675142,1.35574837310195,1.33898529766209,1.37056010928962,1.35876509844363,1.35140997830803,1.3004217791411,1.35876509844363
