"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Alaska",,"AK",,,,9.6,85.46,,,263900,0.456794822992006,3.00546448087432,0.0544410761652141,12.2,0.133051017998153,0.0127879928929157,89
"State","Alabama",,"AL",,,,2,79.11,11.2475,5.3108,122700,0.0815660685154976,0.491400491400491,0.033716381418093,25.8,0.163747493402736,0.03344252224344,128
"State","Arkansas",,"AR",,,,4.2,77.42,6.4771,2.5227,115100,0.261324041811847,3.3213644524237,0.0291920069504779,31.5,0.146923643975339,0.030851303923143,110
"State","Arizona",,"AZ",,,,4.6,81.91,7.9186,3.357,204200,0.789733464955577,7.58693361433088,0.0365915768854064,73,0.176208332385921,0.0250151422782854,76
"State","California",,"CA",,,,7.4,88.7,6.412,2.2965,454700,0.530621269069202,6.31283610007014,0.029566747305916,56.8,0.0944519577924134,0.0339595696138096,74
"State","Colorado",,"CO",,,,9.4,94.72,4.1451,1.7056,288400,0.663176265270506,12.5243854857589,0.041140776699029,48.4,0.0781744724582258,0.0157317861144281,69
"State","Connecticut",,"CT",,,,1,68.88,4.6326,0.9774,237000,-0.0843170320404722,-0.294488851493479,0.00572995780590713,44.1,0.161659353592864,0.0660956785085172,128
"State","District of Columbia",,"DC",,,,8,93.91,1.4805,1.0222,497800,0.443906376109766,5.6675864996816,,39.2,0.108698156682028,0.0596184419713831,62.5
"State","Delaware",,"DE",,,,4.4,74.77,1.7209,0.4051,206600,0.437530384054448,1.3241785188818,0.0136544046466602,8.5,0.151377575178907,0.0777452728607814,108
"State","Florida",,"FL",,,,2.4,80.22,,,181800,0.553097345132743,8.6670651524208,0.00987348734873494,81.5,0.155867559820654,0.0701959466382152,102
"State","Georgia",,"GA",,,,3.6,73.25,,,142700,0.492957746478873,4.69552457813646,0.0408128941836019,52.9,0.182943606388428,0.0391921258545321,105
"State","Hawaii",,"HI",,,,7.6,88.99,4.4882,1.2476,552900,0.363042294427301,5.55555555555556,0.0215644782058237,39,0.0565569399903978,0.0693669673533878,88
"State","Iowa",,"IA",,,,6.6,85.86,2.4798,1.6684,130700,0.153256704980843,2.99448384554768,0.0348890589135424,9.5,0.114892532817561,0.0246954429708859,92
"State","Idaho",,"ID",,,,8.6,85.25,,,171900,0.29171528588098,4.94505494505495,0.0478417684700407,12.6,0.159728867110669,0.0207675294176652,80
"State","Illinois",,"IL",,,,0.6,68.33,,,157500,0.127145581691036,1.35135135135135,0.0289015873015872,69.2,0.198274902155552,0.0475238367206265,118
"State","Indiana",,"IN",,,,5.2,85.79,,,115500,0.260416666666667,3.49462365591398,0.0336363636363637,23.1,0.159386671457181,0.0350856304087337,105
"State","Kansas",,"KS",,,,6.8,87.8,,,123000,0.081366965012205,4.59183673469388,0.0407398373983741,2.3,0.127992545652083,0.0246999017892182,86
"State","Kentucky",,"KY",,,,5.8,81.21,1.8468,1.0153,127000,0.157728706624606,2.6677445432498,0.0034960629921259,4.2,0.127820860910438,0.030873740724274,98
"State","Massachusetts",,"MA",,,,4,88.06,10.6525,3.4052,341000,0.264628050573361,5.50742574257426,0.0184105571847508,23.9,0.0814421566976887,0.0622595424013301,90
"State","Maryland",,"MD",,,,0.2,75.78,14.9845,4.9674,249800,0.120240480961924,0.0801282051282051,0.00624099279423529,55,0.189386283054485,0.0631656963363796,123
"State","Maine",,"ME",,,,3.8,100,,1.7975,,,,,,0.156144261114115,0.0666754605136737,107
"State","Michigan",,"MI",,,,1.8,80.23,,,120800,0.24896265560166,2.89608177172061,0.0274834437086093,82.7,0.165168568585707,0.0261425817740477,100
"State","Minnesota",,"MN",,,,5.4,79.46,8.5976,2.7348,184500,0.490196078431373,3.76827896512936,0.0304661246612465,35.3,0.119573706240902,0.0213872614281052,96
"State","Missouri",,"MO",,,,2.6,76.83,,,133600,0.225056264066016,3.80730380730381,0.0308682634730539,42.7,0.177042302194854,0.0261514405050138,88
"State","Mississippi",,"MS",,,,2.8,87.5,,,113000,-0.0884173297966401,0.177304964539007,0.0315486725663716,2.4,0.164672706941273,0.0380722133747935,111
"State","Montana",,"MT",,,,8.4,88.04,,,186300,0,4.54545454545455,0.0225067096081588,8,0.110721658966204,0.0159961014556571,96
"State","North Carolina",,"NC",,,,3.2,78.52,7.3583,3.3867,148800,0.269541778975741,3.19001386962552,0.0283333333333333,26.5,0.127546036729209,0.0390260572650456,105
"State","North Dakota",,"ND",,,,9.2,98.22,,,198800,0.862506341958397,3.81201044386423,0.00980885311871238,11.6,0.0896525381345252,0.00610976309586885,78
"State","Nebraska",,"NE",,,,9.8,87.22,1.9723,1.3395,139900,0.792507204610951,6.54988575780655,0.0326233023588278,7.6,0.0968317778763969,0.0147733542432719,74
"State","New Hampshire",,"NH",,,,6,81.64,,,225200,0.267141585040071,3.11355311355311,0.0208214920071048,22.5,0.120115377089286,0.0289117427513203,107
"State","New Jersey",,"NJ",,,,0.8,76.74,5.6157,3.1697,286500,0.174825174825175,0.069856793573175,0.000432809773123877,41.9,0.148851274960199,0.135650947811223,147
"State","New Mexico",,"NM",,,,0.4,70.9,,,163500,-0.0611246943765281,-1.26811594202899,0.0254128440366972,20.1,0.205557794686556,0.0489998014500204,108
"State","Nevada",,"NV",,,,2.2,81.19,11.0443,4.7904,212300,0.616113744075829,10.2284527518172,0.0554168629298164,75.2,0.196690951196553,0.0694865373848108,79
"State","New York",,"NY",,,,3.4,87.04,4.0446,2.4583,262300,-0.114242193450114,0.190985485103132,0.00949675943576067,34.1,0.104849098783273,0.105548844976493,153
"State","Ohio",,"OH",,,,1.2,78.93,11.0344,4.0424,118800,0.337837837837838,2.7681660899654,0.0301094276094276,41.3,0.158591751618505,0.0399340260224462,97
"State","Oklahoma",,"OK",,,,6.2,85.66,2.8653,1.3054,113400,0.353982300884956,2.99727520435967,0.0300440917107583,43.6,0.114799756243294,0.0294596891695425,92
"State","Oregon",,"OR",,,,6.4,89.81,7.8771,4.7563,263100,0.68886337543054,9.99163879598662,0.0383010262257697,34.7,0.0888086331447225,0.0462554168175015,77
"State","Pennsylvania",,"PA",,,,1.6,82.06,8.8267,3.6411,152000,0.131752305665349,1.13107119095143,0.0149342105263157,28.7,0.132700000846174,0.0483065004035325,112
"State","Rhode Island",,"RI",,,,3,75.94,7.2019,4.3131,229100,0.526546731022378,3.94736842105263,0.0340419030990833,42.2,0.15227281597576,0.0561703358364075,111
"State","South Carolina",,"SC",,,,1.4,76.63,9.3408,3.103,135100,0.148257968865827,2.73764258555133,0.027720207253886,36.7,0.126592703350879,0.0500215956550187,119
"State","South Dakota",,"SD",,,,10,,,,174500,0.345025876940771,13.5328562134027,,8.7,0.0960165630535205,0.0112106507117507,
"State","Tennessee",,"TN",,,,5.6,83.4,,,130100,0.30840400925212,3.83080606544294,0.0362720983858571,49.8,0.130069926709116,0.0283741345810648,103
"State","Texas",,"TX",,,,9,89.12,,,151700,0.397088021178028,8.20256776034237,0.0456624917600528,37.5,0.0819460424258414,0.0219254421863602,76
"State","Utah",,"UT",,,,7,83.02,,,222100,0.406871609403255,5.91320934668574,0.0467041873030167,33.6,0.162004332949875,0.0182526732573478,80
"State","Virginia",,"VA",,,,4.8,78.77,4.8876,1.8243,232000,0.215982721382289,1.08932461873638,0.00943965517241385,14.5,0.150786442330875,0.0277317434392384,98
"State","Vermont",,"VT",,,,8.2,92.22,2.3966,0.9011,218300,-0.182898948331047,-0.365130077590141,0.0421942281264316,21.5,,,129
"State","Washington",,"WA",,,,7.2,89.15,6.8105,3.4292,286300,0.597329585382994,9.23311713086608,0.0510583304226335,36.2,0.106468729394489,0.0367920580786563,74
"State","Wisconsin",,"WI",,,,5,75.87,3.8706,1.3611,156800,0.0638162093171666,3.43007915567282,0.0292474489795918,25.6,0.135819218652556,0.031677777868676,108
"State","West Virginia",,"WV",,,,7.8,83.94,4.3123,1.128,93000,0.431965442764579,-1.16896918172157,0.0304301075268818,3.7,0.147985447754243,0.0231932999663267,129
"State","Wyoming",,"WY",,,,8.8,93.15,,,192500,0.051975051975052,3.99783900594273,0.0382077922077921,11,,,75
