"Date","RegionID","RegionName","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,102001,"United States",0,184600,0.00217155266015201,0.00819224467504096,0.0429378531073446,0.0314779901306264,-0.00319345694962048,"2007-05","2007-Q2",196100,-0.0586435492095869,"2005-10"
2016-02-29,9,"California",1,458500,0.0037215411558669,0.0152790079716563,0.0613425925925926,0.073172963752284,-0.0146842231126884,"2006-05","2006-Q2",534000,-0.141385767790262,"2004-12"
2016-02-29,54,"Texas",2,153300,0.00458715596330275,0.0138888888888889,0.0773014757554462,0.0351194972192124,0.0206179782414797,"2016-02","2016-Q1",153300,0,"2016-02"
2016-02-29,43,"New York",3,262000,0,-0.00114372855508959,-0.00757575757575758,0.00323731146213291,,"2007-08","2007-Q3",332400,-0.21179302045728,
2016-02-29,14,"Florida",4,185000,0.00598151169113649,0.0220994475138122,0.0920897284533648,0.0695178928759297,-0.0296617037616551,"2006-07","2006-Q3",256900,-0.279875437913585,"2005-01"
2016-02-29,21,"Illinois",5,158000,0.000633312222925902,0.00508905852417303,0.0200129115558425,0.00152594809788553,-0.0214211877164813,"2007-03","2007-Q1",202200,-0.218595450049456,"2003-01"
2016-02-29,47,"Pennsylvania",6,151800,-0.00131578947368421,0,0.011325782811459,0.00467622272704227,0.00417877977250281,"2009-04","2009-Q2",155100,-0.0212765957446809,"2006-12"
2016-02-29,44,"Ohio",7,119000,0.000841042893187553,0.00591715976331361,0.024978466838932,0.0177101190014395,-0.00569953704176696,"2006-05","2006-Q2",126200,-0.0570522979397781,"2003-10"
2016-02-29,30,"Michigan",8,122200,0.00246103363412633,0.00991735537190083,0.0426621160409556,0.0474890356171978,-0.0144176796253163,"2005-12","2005-Q4",142000,-0.13943661971831,"2001-05"
2016-02-29,16,"Georgia",9,144500,0.00347222222222222,0.0140350877192982,0.0555149744338934,0.0315721993795048,-0.00537401687741168,"2006-11","2006-Q4",156300,-0.0754958413307742,"2005-01"
2016-02-29,36,"North Carolina",10,148900,0.00134498991257566,0.00472334682860999,0.0325936199722607,0.0124027878773569,0.00553772892595217,"2007-10","2007-Q4",150600,-0.0112881806108898,"2007-06"
2016-02-29,40,"New Jersey",11,288000,0.00104275286757039,0.00558659217877095,0.00911002102312544,0.00090523092374295,-0.0232813161388261,"2006-07","2006-Q3",370800,-0.223300970873786,"2004-05"
2016-02-29,56,"Virginia",12,231700,-0.000431406384814495,0.00259627866724362,0.0087070091423596,0.0167818064955187,-0.012516000639341,"2006-08","2006-Q3",267100,-0.132534631224261,"2005-04"
2016-02-29,59,"Washington",13,288600,0.00452488687782805,0.0161971830985915,0.0878251036562382,0.0444479991915265,0.00509485972174284,"2007-06","2007-Q2",303000,-0.0475247524752475,"2006-07"
2016-02-29,26,"Massachusetts",14,342600,0.00292740046838408,0.009428403064231,0.0489895897121862,0.032761329181302,-0.00385734171008045,"2005-09","2005-Q3",359100,-0.0459482038429407,"2004-11"
2016-02-29,22,"Indiana",15,115300,-0.00173160173160173,0.000868055555555556,0.0322291853178156,0.0131671737482284,-0.002396553262622,"2005-08","2005-Q3",119700,-0.0367585630743525,"2004-12"
2016-02-29,8,"Arizona",16,205000,0.00195503421309873,0.0138476755687438,0.0738606600314301,0.0768076234128758,-0.0244209728808861,"2006-05","2006-Q2",264400,-0.224659606656581,"2005-04"
2016-02-29,53,"Tennessee",17,130900,0.00229709035222052,0.00925212027756361,0.0405405405405405,0.0242865862463646,0.0148132297064221,"2016-02","2016-Q1",130900,0,"2016-02"
2016-02-29,32,"Missouri",18,134500,0.00298284862043251,0.00900225056264066,0.0402165506573859,0.00744989644331895,-0.0097865105267213,"2007-05","2007-Q2",153200,-0.122062663185379,"2003-09"
2016-02-29,27,"Maryland",19,250800,0.000398883127243718,0.00440528634361234,0.00763358778625954,0.0112981100959493,-0.0226889326841911,"2006-08","2006-Q3",323900,-0.225686940413708,"2004-12"
2016-02-29,60,"Wisconsin",20,155200,-0.00385109114249037,-0.00957243139757498,0.0257766027759418,0.00576860512625266,-0.00102512421751788,"2007-05","2007-Q2",159600,-0.0275689223057644,"2005-12"
2016-02-29,31,"Minnesota",21,185900,0.00215633423180593,0.0114254624591948,0.0379676158570631,0.0307195723732723,-0.0117387407452996,"2006-05","2006-Q2",210300,-0.116024726581075,"2004-01"
2016-02-29,10,"Colorado",22,294200,0.00581196581196581,0.023304347826087,0.1272030651341,0.0739826472429961,0.0273615117846715,"2016-02","2016-Q1",294200,0,"2016-02"
2016-02-29,4,"Alabama",23,123100,0,0.00244299674267101,0.0148392415498763,0.00411198086838049,0.000570428943964307,"2009-05","2009-Q2",132600,-0.0716440422322775,"2006-04"
2016-02-29,51,"South Carolina",24,136000,0.00221075902726603,0.00740740740740741,0.0256410256410256,0.0125153382356433,0.00298975674948077,"2006-12","2006-Q4",136900,-0.00657414170927684,"2006-09"
2016-02-29,24,"Kentucky",25,127400,0,0.00473186119873817,0.0274193548387097,0.0137351218659205,0.0108211965843619,"2016-02","2016-Q1",127400,0,"2016-02"
2016-02-29,46,"Oregon",26,267000,0.00640784018092725,0.0218140068886338,0.107424305267524,0.0524273974533973,0.00896606618622986,"2016-02","2016-Q1",267000,0,"2016-02"
2016-02-29,45,"Oklahoma",27,114200,0.000876424189307625,0.00705467372134039,0.031616982836495,0.0471569111267105,0.0321772383902179,"2016-02","2016-Q1",114200,0,"2016-02"
2016-02-29,11,"Connecticut",28,237900,0.000841396718552798,0.000420521446593776,0.00126262626262626,-0.00723819839036643,-0.0210834664741448,"2006-05","2006-Q2",295600,-0.195196211096076,"2003-12"
2016-02-29,19,"Iowa",29,130000,-0.00153609831029186,-0.00306748466257669,0.0309278350515464,0.0225221570495913,,"2015-09","2015-Q3",130600,-0.00459418070444104,"2015-08"
2016-02-29,34,"Mississippi",30,113100,-0.00088339222614841,0,0.00982142857142857,-0.000529661314211283,0.0278907174639638,"2013-02","2013-Q1",129600,-0.127314814814815,"2012-04"
2016-02-29,6,"Arkansas",31,115300,0.000868055555555556,0.00698689956331878,0.0313059033989267,0.0216306420783474,0.0158727425438416,"2016-02","2016-Q1",115300,0,"2016-02"
2016-02-29,23,"Kansas",32,122600,-0.00406173842404549,-0.00162866449511401,0.0416312659303314,0.0169821044405265,,"2013-02","2013-Q1",128700,-0.0473970473970474,"2012-06"
2016-02-29,55,"Utah",33,224300,0.00402864816472695,0.0140144665461121,0.0670789724072312,0.0225855911929287,0.0147754810723926,"2008-01","2008-Q1",258900,-0.133642332947084,"2006-11"
2016-02-29,42,"Nevada",34,214300,0.00374707259953162,0.0170859041290935,0.0972862263184844,0.0955305182260615,-0.0362774069815284,"2006-04","2006-Q2",311300,-0.311596530677803,"2004-04"
2016-02-29,41,"New Mexico",35,163400,-0.000611620795107034,-0.00122249388753056,-0.000611620795107034,-0.0211150878150287,-0.0116419824973055,"2009-05","2009-Q2",197200,-0.171399594320487,"2004-12"
2016-02-29,61,"West Virginia",36,98600,0.0249480249480249,0.0522945570971185,0.0871003307607497,0.00938642172269999,,"2014-03","2014-Q1",105000,-0.060952380952381,"2013-08"
2016-02-29,38,"Nebraska",37,141600,0.00425531914893617,0.0209084354722422,0.0686792452830189,0.0348670562827118,0.0133609316554593,"2016-02","2016-Q1",141600,0,"2016-02"
2016-02-29,20,"Idaho",38,173400,0.00405327156919514,0.0116686114352392,0.0534629404617254,0.0288694011403299,0.00461319038988139,"2007-11","2007-Q4",197200,-0.120689655172414,"2006-04"
2016-02-29,18,"Hawaii",39,556700,0.00288236353810124,0.0121818181818182,0.050377358490566,0.0482701017964116,0.00347860749774287,"2016-02","2016-Q1",556700,0,"2016-02"
2016-02-29,39,"New Hampshire",40,227300,0.00441891294741494,0.0129233511586453,0.0374258329529895,0.024898070837162,-0.0115109186040143,"2006-03","2006-Q1",255500,-0.110371819960861,"2004-05"
2016-02-29,50,"Rhode Island",41,231200,0.00347222222222222,0.0135905304690925,0.0452079566003617,0.00851790907467276,-0.0241408295898824,"2005-11","2005-Q4",297000,-0.221548821548822,"2003-08"
2016-02-29,35,"Montana",42,186600,0.00107296137339056,0.00161030595813205,0.0407138873396542,-0.00795246399828875,0.0197850195632396,"2009-08","2009-Q3",214400,-0.129664179104478,"2008-11"
2016-02-29,13,"Delaware",43,210900,0.00380771061399334,0.0163855421686747,0.0476900149031297,0.00826156998008143,-0.00750435008062811,"2007-05","2007-Q2",234900,-0.102171136653895,"2005-08"
2016-02-29,52,"South Dakota",44,177800,0.00622524052065648,0.0183276059564719,0.133928571428571,0.0513786006278207,0.029922099633636,"2016-02","2016-Q1",177800,0,"2016-02"
2016-02-29,3,"Alaska",45,266200,0.00301431801055011,0.012937595129376,0.0382215288611544,0.00958592357984567,0.00561671531068808,"2008-06","2008-Q2",277900,-0.0421014753508456,"2007-03"
2016-02-29,37,"North Dakota",46,199800,0.00250878073256397,0.013184584178499,0.0330920372285419,0.0552401072016162,0.0463552948280042,"2016-02","2016-Q1",199800,0,"2016-02"
2016-02-29,58,"Vermont",47,218200,-0.00182982616651418,-0.00456204379562044,0.00229673863114378,0.00314588008021732,-0.0115581076026563,"2005-06","2005-Q2",256100,-0.147989066770793,"2004-10"
2016-02-29,12,"District of Columbia",48,500500,0.00260416666666667,0.011928831378892,0.0521336977086399,0.0724451785307321,0.0225396474800348,"2016-02","2016-Q1",500500,0,"2016-02"
2016-02-29,62,"Wyoming",49,192600,0,0.0015600624024961,0.0354838709677419,0.00710645276754884,0.0125599278341633,"2009-06","2009-Q2",212400,-0.0932203389830508,"2008-08"
